id;formacion_academica
1;Actuaria
2;Arquitectura
3;Fisica
4;Ingenieria Bionica
5;Ingenieria en Ciencias de la Computacion
6;Ingenieria en Desarrollo de Software
7;Ingenieria en Desarrollo e Inovacion Empresarial
8;Ingenieria en Electronica en Computacion
9;Ingenieria en Electronica y Comunicaciones
10;Ingenieria en Informatica
11;Ingenieria en Mecatronica
12;Ingenieria en Sistemas Computacionales
13;Ingenieria en Sistemas Electronicos
14;Ingenieria en Tecnologias de la Informacion y Comunicacion
15;Ingenieria en Telecomunicaciones
16;Ingenieria en Telematica
17;Ingenieria Industrial
18;Ingenieria Industrial Quimica
19;Ingenieria Mecanica Electrica
20;Ingenieria Quimica
21;Licenciatura Ciencias de la Comunicacion
22;Licenciatura en Administracion de Empresas
23;Licenciatura en Administracion Industrial
24;Licenciatura en Administracion Internacional de Negocios
25;Licenciatura en Animacion y Arte Digital
26;Licenciatura en Biologia
27;Licenciatura en Computacion
28;Licenciatura en Contaduria Publica
29;Licenciatura en Derecho
30;Licenciatura en Diseño de Informacion
31;Licenciatura en Diseño Industrial
32;Licenciatura en Diseño y Comunicacion Visual
33;Licenciatura en Disenio Grafico
34;Licenciatura en Economia
35;Licenciatura en Finanzas
36;Licenciatura en Geografia
37;Licenciatura en Informatica
38;Licenciatura en Matematicas aplicadas a la computacion
39;Licenciatura en Mercadotecnia
40;Licenciatura en Pedagogia
41;Licenciatura en Psicologia
42;Licenciatura en Publicidad
43;Licenciatura en Relaciones Comerciales
44;Licenciatura en Relaciones Internacionales
45;Licenciatura en Sistemas Computacionales Administrativos
46;Licenciatura en Tecnologias de la Informacion y Comunicacion
47;Licenciatura en Turismo
48;Lincenciatura en Sistemas y Tecnologia de la Informacion
49;Maestria en Administracion de Negocios
50;Maestria en Ciencias
51;Tecnico Analista de Sistemas y Programador de Computadoras
52;Tecnico Superior Universitario en Administracion
53;Tecnico Superior Universitario en Computacion
54;Tecnico Superior Universitario en Informatica
55;Tecnico Superior Universitario en Telematica
